Truck #,Last Call,Call Status,ETA
61623,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
23396,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
46484,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
46261,"Feb 6, 2026",SUCCESSFUL - READY_FOR_PICKUP,
22249,"Feb 6, 2026",SUCCESSFUL - READY_FOR_PICKUP,two week(s)
47166,"Feb 6, 2026",SUCCESSFUL - NOT_STARTED,
46688,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
46218,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
46509,"Feb 6, 2026",SUCCESSFUL - MOVE_TO_ANOTHER_SHOP,
71012,"Feb 6, 2026",UNSUCCESSFUL,
37103,"Feb 6, 2026",SUCCESSFUL - NOT_FOUND,
36702,"Feb 6, 2026",SUCCESSFUL - MOVE_TO_ANOTHER_SHOP,next week
61673,"Feb 6, 2026",SUCCESSFUL - MOVE_TO_ANOTHER_SHOP,
46629,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
46063,"Feb 6, 2026",SUCCESSFUL - NOT_STARTED,
61367,"Feb 6, 2026",UNSUCCESSFUL,
46224,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
46147,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,12 month(s)
61209,"Feb 6, 2026",SUCCESSFUL - NOT_FOUND,
37344,"Feb 6, 2026",SUCCESSFUL - NOT_FOUND,
46407,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
47270,"Feb 6, 2026",UNSUCCESSFUL,
36315,"Feb 6, 2026",SUCCESSFUL - READY_FOR_PICKUP,
61624,"Feb 6, 2026",UNSUCCESSFUL,
24117,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
29753,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
23598,"Feb 6, 2026",UNSUCCESSFUL,
36876,"Feb 6, 2026",SUCCESSFUL - MOVE_TO_ANOTHER_SHOP,
46644,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
47026,"Feb 6, 2026",UNSUCCESSFUL,
46490,"Feb 6, 2026",SUCCESSFUL - IN_REPAIR,
23221,"Feb 6, 2026",UNSUCCESSFUL,
47014,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
46622,"Feb 6, 2026",UNSUCCESSFUL,
46775,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,next week
46205,"Feb 6, 2026",UNSUCCESSFUL,
47164,"Feb 6, 2026",SUCCESSFUL - MOVE_TO_ANOTHER_SHOP,
47032,"Feb 6, 2026",UNSUCCESSFUL,
21264,"Feb 6, 2026",UNSUCCESSFUL,
61316,"Feb 6, 2026",SUCCESSFUL - NOT_STARTED,
23325,"Feb 6, 2026",SUCCESSFUL - NOT_STARTED,
24056,"Feb 6, 2026",UNSUCCESSFUL,
36196,"Feb 6, 2026",UNSUCCESSFUL,
21316,"Feb 6, 2026",UNSUCCESSFUL,
61320,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
23591,"Feb 6, 2026",SUCCESSFUL - MOVE_TO_ANOTHER_SHOP,
46499,"Feb 6, 2026",UNSUCCESSFUL,
36516,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
61148,"Feb 6, 2026",SUCCESSFUL - NOT_STARTED,
61191,"Feb 6, 2026",UNSUCCESSFUL,
36398,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
23536,"Feb 6, 2026",SUCCESSFUL - MOVE_TO_ANOTHER_SHOP,
47001,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
46811,"Feb 6, 2026",UNSUCCESSFUL,
23621,"Feb 6, 2026",UNSUCCESSFUL,
61763,"Feb 6, 2026",UNSUCCESSFUL,
37230,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
23433,"Feb 6, 2026",SUCCESSFUL - IN_REPAIR,
46474,"Feb 6, 2026",UNSUCCESSFUL,
61354,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
46364,"Feb 6, 2026",UNSUCCESSFUL,
47230,"Feb 6, 2026",SUCCESSFUL - MOVE_TO_ANOTHER_SHOP,
21791,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
23945,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
47043,"Feb 6, 2026",SUCCESSFUL - READY_FOR_PICKUP,
36690,"Feb 6, 2026",UNSUCCESSFUL,
36376,"Feb 6, 2026",UNSUCCESSFUL,
46652,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
21503,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
37372,"Feb 6, 2026",UNSUCCESSFUL,
47119,"Feb 6, 2026",PARTIALLY_SUCCESSFUL,
61058,"Feb 6, 2026",SUCCESSFUL - MOVE_TO_ANOTHER_SHOP,
23352,"Feb 6, 2026",SUCCESSFUL - MOVE_TO_ANOTHER_SHOP,
