VIN,VEHICLE_NUMBER,DELIVERY_DATE,OUT_OF_SVC_DATE,SALE_DATE,MODEL_YEAR,MAKE_NAME,MODEL_NAME,LIC_STATE,LICENSE_PLATE,REG_RENEWAL_DATE,COLOR,BRANDING,INTERIOR,TUNE_STATUS,REGION,DISTRICT,ODOMETER_DELIVERY ,DELIVERY ADDRESS,CITY,STATE,ZIP,MIS,REM_BOOK_VALUE,LEASE_END_DATE
1FTNE1EW3EDA41264,47095,4/11/2014,8/9/2022,8/17/2022,2014,FORD,ECONOLINE,NY,74275MD,4/30/2022,Blue,AE Factory Service,Lawn & Garden,Maximum,0000850,0007670,,3392 Willow Rd,CLAY,NY,13041,99,1282.50,1/26/2023
1FTNE1EW5EDA41265,46025,8/14/2014,4/23/2025,5/16/2025,2014,FORD,ECONOLINE,NV,748T29,1/6/2026,Blue,AE Factory Service,Utility With Ref Racks,Maximum,0000890,0008184,,4851 Elm Pl,SPARKS,NV,89431,128,0.00,1/26/2023
1FTNE1EW5EDA44473,46743,5/29/2014,,,2014,FORD,ECONOLINE,PA,ZBT6575,4/30/2026,Blue,AE Factory Service,Lawn & Garden,NA,0000850,0007983,119709,4068 Elm Ct,PHILADELPHIA,PA,19114,134,0.00,6/18/2023
1FTNE24203HA50028,30288,12/26/2002,12/17/2014,12/17/2014,2003,FORD,ECONOLINE,FL,475LAQ,3/31/2015,Blue,AE Factory Service,Utility Without Ref Racks,Medium,0000850,0007435,,9761 Birch St,HIALEAH,FL,33015,143,0.00,
1FTNE24203HA50059,30319,12/26/2002,4/19/2016,4/19/2016,2003,FORD,ECONOLINE,FL,910KJH,3/31/2017,Blue,AE Factory Service,Empty,Stock,0000850,0007435,,2292 Oak Ct,HIALEAH,FL,33015,159,0.00,
1FTNE24203HA50224,30484,12/28/2002,6/6/2014,6/6/2014,2003,FORD,ECONOLINE,WA,B42278R,12/31/2014,Blue,Sears,Utility Without Ref Racks,Stock,0000890,0008129,,1979 Elm St,PORTLAND,OR,97236,137,0.00,
1FTNE24203HA50305,30565,12/28/2002,11/18/2016,11/18/2016,2003,FORD,ECONOLINE,WA,B41741R,12/31/2017,Blue,Sears,Utility Without Ref Racks,Maximum,0000890,0008505,,3281 Birch Ct,SEATTLE,WA,98134,166,0.00,
1FTNE24203HA50319,30579,12/28/2002,1/26/2015,1/26/2015,2003,FORD,ECONOLINE,WA,B41744R,12/31/2015,Blue,AE Factory Service,Utility Without Ref Racks,NA,0000890,0008505,,2100 Birch Dr,SEATTLE,WA,98134,144,0.00,
1FTNE24203HA50322,30582,12/28/2002,4/17/2015,4/17/2015,2003,FORD,ECONOLINE,WA,B14840N,1/27/2016,Blue,Sears,Utility Without Ref Racks,Maximum,0000890,0008228,,403 Spruce Ave,KELSO,WA,98626,147,0.00,
1FTNE24203HA50417,30677,12/26/2002,12/2/2014,12/2/2014,2003,FORD,ECONOLINE,CA,7B60953,1/31/2015,Blue,AE Factory Service,Empty,Maximum,0000890,0007088,,8529 Ash St,EL CAJON,CA,92020,143,0.00,
1FTNE24203HA51793,31047,12/28/2002,4/1/2014,4/1/2014,2003,FORD,ECONOLINE,TX,3037BD,12/31/2014,Blue,AE Factory Service,Utility With Ref Racks,Maximum,0000890,0008227,,8052 Birch Ave,DALLAS,TX,75234,135,0.00,
1FTNE24203HA51941,31195,12/28/2002,2/26/2015,2/26/2015,2003,FORD,ECONOLINE,TX,2980BD,12/31/2015,Blue,AE Factory Service,Utility Without Ref Racks,Maximum,0000890,0008227,,9159 Elm Ave,FARMERS BRANCH,TX,75234,145,0.00,
