Truck Number,System,Field,Action,Reconciliation Required,Desired Owner,Desired Value,Current/Before Value,Status,Issue Bucket,Rule,Created (UTC)
017744,AMS,assignment,clear,Clear AMS assignment,,,,flagged,,AMS_MISSING_FLAG,2026-06-22 11:50:52
018147,AMS,assignment,clear,Clear AMS assignment,,,,flagged,,AMS_MISSING_FLAG,2026-06-22 11:50:52
018158,AMS,assignment,clear,Clear AMS assignment,,,,flagged,,AMS_MISSING_FLAG,2026-06-22 11:50:52
018206,AMS,assignment,clear,Clear AMS assignment,,,,flagged,,AMS_MISSING_FLAG,2026-06-22 11:50:52
018220,AMS,assignment,clear,Clear AMS assignment,,,,flagged,,AMS_MISSING_FLAG,2026-06-22 11:50:52
018380,AMS,assignment,clear,Clear AMS assignment,,,,flagged,,AMS_MISSING_FLAG,2026-06-22 11:50:52
021118,AMS,assignment,assign,Assign AMS assignment -> jperez0,jperez0,,unknown,skipped,,AMS_ASSIGN,2026-06-22 11:50:51
021218,AMS,assignment,assign,Assign AMS assignment -> gharris,gharris,,unknown,skipped,,AMS_ASSIGN,2026-06-22 11:50:51
022247,AMS,assignment,assign,Assign AMS assignment -> srussel,srussel,,unknown,skipped,,AMS_ASSIGN,2026-06-22 11:50:51
023456,AMS,assignment,assign,Assign AMS assignment -> wrobers,wrobers,,unknown,skipped,,AMS_ASSIGN,2026-06-22 11:50:51
024324,AMS,assignment,assign,Assign AMS assignment -> mdellin,mdellin,,,flagged,,AMS_MISSING_FLAG,2026-06-22 11:50:51
028147,AMS,assignment,clear,Clear AMS assignment,,,,flagged,,AMS_MISSING_FLAG,2026-06-22 11:50:52
038107,AMS,assignment,clear,Clear AMS assignment,,,,flagged,,AMS_MISSING_FLAG,2026-06-22 11:50:52
038147,AMS,assignment,clear,Clear AMS assignment,,,,flagged,,AMS_MISSING_FLAG,2026-06-22 11:50:52
048147,AMS,assignment,clear,Clear AMS assignment,,,,flagged,,AMS_MISSING_FLAG,2026-06-22 11:50:52
058147,AMS,assignment,clear,Clear AMS assignment,,,,flagged,,AMS_MISSING_FLAG,2026-06-22 11:50:52
