"System","Method","Endpoint","Description","Authentication"
"TPMS","GET","/techinfo/{enterpriseId}","Retrieve full technician profile","x-api-key header / Bearer token"
"TPMS","GET","/techinfo/search?q={query}","Search technicians by name or ID","x-api-key header / Bearer token"
"TPMS","GET","/techsupdatedafter/{isoTimestamp}","Incremental sync for technician data updates","x-api-key header / Bearer token"
"TPMS","GET","/techinfo/{enterpriseId}/addresses","Retrieve technician shipping addresses","x-api-key header / Bearer token"
"TPMS","PUT","/techinfo/{enterpriseId}/addresses","Update or add shipping addresses","x-api-key header / Bearer token"
"TPMS","DELETE","/techinfo/{enterpriseId}/addresses/{type}","Remove a specific address type","x-api-key header / Bearer token"
"TPMS","PUT","/techinfo/{enterpriseId}/schedule","Update tool replenishment schedule","x-api-key header / Bearer token"
"TPMS","PUT","/techinfo/{enterpriseId}/assign","Assign a truck to a technician","x-api-key header / Bearer token"
"TPMS","DELETE","/techinfo/{enterpriseId}/assign","Remove a truck assignment","x-api-key header / Bearer token"
"TPMS","POST","/temptruckassign","Perform a temporary truck assignment","x-api-key header / Bearer token"
"TPMS Auth","GET","{TPMS_AUTH_ENDPOINT}","Obtain SOAP/Bearer token via Basic Auth","Basic Auth (username/password)"
"AMS","GET","/api/v1/vehicles","Search vehicles with filters (VIN, plate, district, etc.)","AMS-API-Key header"
"AMS","GET","/api/v1/vehicles/{vin}","Retrieve detailed vehicle data","AMS-API-Key header"
"AMS","POST","/api/v1/vehicles/{vin}/user-updates","Update vehicle metadata (color, interior, etc.)","AMS-API-Key header"
"AMS","POST","/api/v1/vehicles/{vin}/tech-update","Update technician assignment for a vehicle","AMS-API-Key header"
"AMS","GET","/api/v1/vehicles/{vin}/comments","Retrieve vehicle comment history","AMS-API-Key header"
"AMS","POST","/api/v1/vehicles/{vin}/comments","Add a new comment to a vehicle","AMS-API-Key header"
"AMS","POST","/api/v1/vehicles/{vin}/repair-updates","Update active repair/rental status","AMS-API-Key header"
"AMS","POST","/api/v1/vehicles/{vin}/repair-disposition","Complete a repair with final disposition","AMS-API-Key header"
"AMS","GET","/api/v1/techs","Search technician roster data","AMS-API-Key header"
"AMS","GET","/api/v1/lookups/{type}","Retrieve lookup tables (e.g. status codes)","AMS-API-Key header"
"Holman","GET","/vehicles/basic-query","Paginated vehicle search","OAuth2 Client Credentials"
"Holman","POST","/vehicles/custom-query","Advanced vehicle filtering (e.g. by vehicle number)","OAuth2 Client Credentials"
"Holman","GET","/maintenance/purchase-orders/basic-query","Retrieve PO and repair history","OAuth2 Client Credentials"
"Holman","GET","/odometer/basic-query","Retrieve historical odometer readings","OAuth2 Client Credentials"
"Holman","POST","/vehicles/submit","Update vehicle data in Holman's system","OAuth2 Client Credentials"
"Holman Auth","POST","/sso/sts/connect/token","Obtain OAuth2 access token","Client ID / Client Secret"
"Samsara","GET","/fleet/vehicles/locations","Real-time GPS coordinates","Bearer token"
"Samsara","GET","/fleet/vehicles/stats?types=faultCodes","Active engine fault codes / DTCs","Bearer token"
"Samsara","GET","/fleet/drivers","Driver roster and status","Bearer token"
"Samsara","PATCH","/fleet/drivers/{driverId}","Update driver profiles","Bearer token"
"Segno","POST (SOAP)","get_entry_list","List records in modules (OnBoarding, FP_events, Asset_Order)","Session ID (MD5 login)"
"Segno","POST (SOAP)","set_entry","Create or update records (e.g. new onboarding task)","Session ID (MD5 login)"
"Segno","POST (SOAP)","get_entry","Fetch specific record details","Session ID (MD5 login)"
"Segno Auth","POST (SOAP)","login","Obtain session ID via MD5 hashed password","Username / MD5 password"
"PMF (Parq AI)","GET","/api/public/v1/vehicle","List all vehicles in storage","OAuth2 Client Credentials"
"PMF (Parq AI)","GET","/api/public/v1/lot","List available storage locations","OAuth2 Client Credentials"
"PMF (Parq AI)","GET","/api/public/v1/workorder","Track work performed at storage lots","OAuth2 Client Credentials"
"PMF Auth","POST","auth.parq.ai (token endpoint)","Obtain OAuth2 access token","Client ID / Client Secret"
